wall_time,elapsed_sec,step,episode,ep_reward,ep_reward_ma100,sps,loss,policy_loss,value_loss,entropy,epsilon,embb_mbps_mean,spectral_eff_bps_hz,urllc_delay_ms_mean,sla_violation_pct,sla_satisfaction_pct,jains_fairness
2026-07-14 20:59:15,0.04,199,1,-7.0669,-7.0669,4664.5,,,,,1.0,2.207457,0.220746,1597234.36566,11.9,88.1,0.514771
2026-07-14 20:59:15,0.09,399,2,161.2571,77.0951,4665.6,,,,,1.0,7.098272,0.709827,872462.954499,8.5,91.5,0.504201
2026-07-14 20:59:15,0.13,599,3,-36.1291,39.3537,4723.5,,,,,1.0,0.853315,0.085331,1324296.422541,10.6,89.4,0.424856
2026-07-14 20:59:15,0.17,799,4,26.3517,36.1032,4679.8,,,,,1.0,2.763482,0.276348,1185319.719783,9.1,90.9,0.486574
2026-07-14 20:59:16,1.03,999,5,-5.2409,27.8344,970.8,0.176869,,,,0.9995,2.31299,0.231299,1130193.557667,19.0,81.0,0.484769
2026-07-14 21:01:38,142.84,1199,6,72.3859,35.2596,8.4,0.622307,,,,0.904362,4.224477,0.422448,940850.080718,8.9,91.1,0.452055
2026-07-14 21:04:08,292.93,1399,7,-2.2888,29.8956,4.8,0.309218,,,,0.81828,1.569274,0.156927,1112903.967761,7.9,92.1,0.510657
2026-07-14 21:06:40,445.04,1599,8,146.2317,44.4376,3.6,0.656677,,,,0.740392,6.631317,0.663132,920837.227868,8.9,91.1,0.365539
2026-07-14 21:09:07,592.71,1799,9,83.9976,48.8331,3.0,0.871567,,,,0.669918,4.983633,0.498363,1131100.022773,14.2,85.8,0.459718
2026-07-14 21:11:30,735.41,1999,10,278.7658,71.8264,2.7,2.99882,,,,0.606152,10.253585,1.025359,413051.893626,4.8,95.2,0.522046
2026-07-14 21:13:54,879.4,2199,11,26.3845,67.6953,2.5,1.508073,,,,0.548455,2.183419,0.218342,776990.022398,7.2,92.8,0.396085
2026-07-14 21:16:17,1022.6,2399,12,127.0037,72.6377,2.3,2.376734,,,,0.49625,5.22086,0.522086,556026.06041,4.8,95.2,0.632009
2026-07-14 21:18:39,1164.5,2599,13,138.5877,77.7108,2.2,1.858984,,,,0.449014,5.419296,0.54193,447175.437087,3.9,96.1,0.455044
2026-07-14 21:21:02,1307.22,2799,14,195.0663,86.0933,2.1,1.549671,,,,0.406275,7.28637,0.728637,347228.259148,3.9,96.1,0.479584
2026-07-14 21:23:25,1450.22,2999,15,62.6633,84.5313,2.1,2.028373,,,,0.367604,2.749932,0.274993,389480.861234,3.2,96.8,0.536959
